,_id,lat,lng,name,oficina_principal,totalOffices
377,5d231e0ae0aeedf6e06cd60e,40.758492,-73.989987,MindSmack,"{'type': 'Point', 'coordinates': [-73.989987, 40.758492]}",1.0
378,5d231e0ae0aeedf6e06cb20c,40.756799,-73.976348,Worklight,"{'type': 'Point', 'coordinates': [-73.976348, 40.756799]}",1.0
379,5d231e0ae0aeedf6e06ccd42,40.756799,-73.9763479,MediaMath,"{'type': 'Point', 'coordinates': [-73.9763479, 40.756799]}",1.0
380,5d231e0ae0aeedf6e06cb2a5,40.7550005,-73.9717364,Vringo,"{'type': 'Point', 'coordinates': [-73.9717364, 40.7550005]}",1.0
381,5d231e0ae0aeedf6e06cd3b9,40.720699,-73.998107,Cinelan,"{'type': 'Point', 'coordinates': [-73.998107, 40.720699]}",1.0
382,5d231e0ae0aeedf6e06cdc83,40.7547187,-73.9711073,Corvil,"{'type': 'Point', 'coordinates': [-73.9711073, 40.7547187]}",5.0
383,5d231e0ae0aeedf6e06cd26c,40.7587059,-73.9824129,Wall Street Journal,"{'type': 'Point', 'coordinates': [-73.9824129, 40.7587059]}",1.0
384,5d231e0ae0aeedf6e06cdf37,40.758062,-73.978432,Springo,"{'type': 'Point', 'coordinates': [-73.978432, 40.758062]}",1.0
385,5d231e0ae0aeedf6e06cd8f4,40.720391,-73.9983139,Kapitall,"{'type': 'Point', 'coordinates': [-73.9983139, 40.720391]}",1.0
386,5d231e0ae0aeedf6e06cb958,40.759243,-73.98459,Salesconx,"{'type': 'Point', 'coordinates': [-73.98459, 40.759243]}",1.0
387,5d231e0ae0aeedf6e06cb5cd,40.720824,-74.00007,XO Group,"{'type': 'Point', 'coordinates': [-74.00007, 40.720824]}",1.0
388,5d231e0ae0aeedf6e06cdcd8,40.755635,-73.971509,Minyanville,"{'type': 'Point', 'coordinates': [-73.971509, 40.755635]}",1.0
389,5d231e0ae0aeedf6e06cdc43,40.7196275,-73.9986592,Harvest,"{'type': 'Point', 'coordinates': [-73.9986592, 40.7196275]}",1.0
390,5d231e0ae0aeedf6e06ccb07,40.7592189,-73.9783534,Warner Music Group,"{'type': 'Point', 'coordinates': [-73.9783534, 40.7592189]}",1.0
391,5d231e0ae0aeedf6e06cd3af,40.720331,-74.001487,Saffron Brand Consultants,"{'type': 'Point', 'coordinates': [-74.001487, 40.720331]}",1.0
392,5d231e0ae0aeedf6e06cc0ef,40.72276,-74.006272,New York Media,"{'type': 'Point', 'coordinates': [-74.006272, 40.72276]}",1.0
393,5d231e0ae0aeedf6e06cb653,40.724298,-74.008382,Atlantic Metro Communications,"{'type': 'Point', 'coordinates': [-74.008382, 40.724298]}",7.0
394,5d231e0ae0aeedf6e06cc7b5,40.721583,-74.004441,photothread,"{'type': 'Point', 'coordinates': [-74.004441, 40.721583]}",1.0
395,5d231e0ae0aeedf6e06cc549,40.721583,-74.004441,photothread,"{'type': 'Point', 'coordinates': [-74.004441, 40.721583]}",1.0
396,5d231e0ae0aeedf6e06cb667,40.723614,-74.007948,The FeedRoom,"{'type': 'Point', 'coordinates': [-74.007948, 40.723614]}",3.0
397,5d231e0ae0aeedf6e06cd0d9,40.757716,-73.972321,Bristol-Myers Squibb,"{'type': 'Point', 'coordinates': [-73.972321, 40.757716]}",1.0
398,5d231e0ae0aeedf6e06cb916,40.7185614,-73.998662,Mojiva,"{'type': 'Point', 'coordinates': [-73.998662, 40.7185614]}",6.0
399,5d231e0ae0aeedf6e06cd82e,40.723351,-74.008767,Proper Cloth,"{'type': 'Point', 'coordinates': [-74.008767, 40.723351]}",1.0
400,5d231e0ae0aeedf6e06cb65d,40.718871,-74.00118,Thrive,"{'type': 'Point', 'coordinates': [-74.00118, 40.718871]}",1.0
401,5d231e0ae0aeedf6e06cb898,40.761855,-73.983754,Cellfish,"{'type': 'Point', 'coordinates': [-73.983754, 40.761855]}",1.0
402,5d231e0ae0aeedf6e06cc028,40.7618675,-73.9837603,Deloitte,"{'type': 'Point', 'coordinates': [-73.9837603, 40.7618675]}",1.0
403,5d231e0ae0aeedf6e06cc0ff,40.762052,-73.98749,OgilvyOne,"{'type': 'Point', 'coordinates': [-73.98749, 40.762052]}",1.0
404,5d231e0ae0aeedf6e06cb843,40.76126,-73.99726,Meck Technology,"{'type': 'Point', 'coordinates': [-73.99726, 40.76126]}",1.0
405,5d231e0ae0aeedf6e06cda36,40.7217861,-74.0094471,Moogi,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7217861]}",1.0
406,5d231e0ae0aeedf6e06cd531,40.762674,-73.9821315,TheMarkets,"{'type': 'Point', 'coordinates': [-73.9821315, 40.762674]}",1.0
